id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
336,1913142.5,4225818.5,5107300,Rue Ernest Hareux,unclassified,1,,,31,4.58866747650916
337,1912640.2,4222650,240274791,,footway,,,,,51.4088953517203
338,1914309.1,4222123,4221483,Allée des Deux Mondes,residential,,,,31,5.39545095161223
339,1913331.8,4224697.5,203750582,,footway,,,,,0.430108288440018
340,1914892.8,4222425,49789256,Avenue Malherbe,tertiary,1,,,31,5.01408039726218
341,1913680,4223496,97027588,,residential,,,,31,15.783934852082
342,1915191.1,4224889.5,348324981,,footway,,,,,0.965431817500148
343,1914518.2,4224046,82633060,,footway,,,,,22.3418261933434
344,1914643.8,4224075.5,292453881,Place Pasteur,path,,,,,4.02102189647985
345,1915148.5,4222174.5,79367740,Avenue La Bruyère,residential,,,,31,6.04533856053426
346,1916240.4,4223284,345572609,,path,1,,,,4.27497677030417
347,1913214.8,4224376.5,47574932,Place Saint-Bruno,pedestrian,,,,,3.49079609788567
348,1914387.2,4221439,116041604,,pedestrian,,,,,43.5057350355985
349,1914839,4224711.5,8016175,Rue Hébert,residential,1,,,31,4.08690389107637
350,1914919.5,4225204.5,240222937,,footway,,,,,6.26926278509541
351,1913948.4,4224592.5,237663646,Avenue Alsace Lorraine,footway,,,,,0.908020008993433
